Company Name,Source,Portal Subdomain,Notes
IBC Fund,Certificate Transparency,ibcfund.investorflow.com,
ICONIQ Capital,Dreamforce 2022 Presentation,,Multi-family office; $80B+ AUM
IFM Investors,Certificate Transparency (Data Pipeline),ifm.prod.airflow.dataengine.apps.investorflow.com,Australian infrastructure fund manager
Innventure,Certificate Transparency,innventure.investorflow.com,
Integrum Holdings,Certificate Transparency,integrumholdings.investorflow.com,
Interalpen Partners,Certificate Transparency,interalpenpartners.investorflow.com,
Investco,Certificate Transparency,investco.investorflow.com,
KABR Group,Certificate Transparency,kabr.investorflow.com,Real estate
Key Real Estate Company,Certificate Transparency,keyrealestateco.investorflow.com,
Kleiner Perkins,Dreamforce 2023 / InvestorFlow Video,,Top-tier VC firm
KOA Capital Partners,Certificate Transparency,koacapitalpartners.investorflow.com,
KPS Capital Partners,Certificate Transparency,kpsfund.investorflow.com,Manufacturing/industrials PE
L Catterton,Certificate Transparency,lcatterton.investorflow.com,Consumer-focused PE; largest in sector
L2 Point,Certificate Transparency,l2-point.investorflow.com,
Lafayette Square,Certificate Transparency,lafayettesquare.investorflow.com,Impact investing
Langford Equity Partners,Certificate Transparency,langfordep.investorflow.com,
Liberty Capital LP,Certificate Transparency,libertycapitallp.investorflow.com,
Liccar,Certificate Transparency,liccar.investorflow.com,
Lone Tree Capital,Certificate Transparency,lonetreecap.investorflow.com,
Lubert-Adler Partners,Certificate Transparency (Data Pipeline),lubert.prod.airflow.dataengine.apps.investorflow.com,Real estate PE
MCCP,Certificate Transparency,mccp.investorflow.com,
Medical Solutions,Certificate Transparency,medicalsolutions.investorflow.com,Healthcare staffing
MEP Capital,Certificate Transparency,mepcap.investorflow.com,
Merit Capital,Certificate Transparency,meritcapital.investorflow.com,
MOA Capital,Certificate Transparency,moacap.investorflow.com,
Monogram Capital,Certificate Transparency,monogramcapital.investorflow.com,
Montgomery Street Partners,Certificate Transparency,montgomerystreetpartners.investorflow.com,
New 2nd Capital,Certificate Transparency,new2ndcapital.investorflow.com,
Olympus Partners,Certificate Transparency,olympuspartners.investorflow.com,Middle-market PE
OMX,Certificate Transparency,omx.investorflow.com,
One Equity Partners,Certificate Transparency,oneequity.investorflow.com,Middle-market PE (ex-JPMorgan)
Oxford Development,Certificate Transparency,oxforddevelopment.investorflow.com,Real estate development
Panorama Point,Certificate Transparency,panoramapoint.investorflow.com,
Perceptive Life Sciences,Certificate Transparency,perceptivelife.investorflow.com,Life sciences investing
Pin Oak,Certificate Transparency,pinoak.investorflow.com,
Platform LLC,Certificate Transparency,platformllc.investorflow.com,
PPC Partners,Certificate Transparency,ppcpartners.investorflow.com,
Pritzker Private Capital,Certificate Transparency,pritzkerpas.investorflow.com,Pritzker family PE
Recognize,Certificate Transparency,recognize.investorflow.com,
Related Companies,Certificate Transparency,related.investorflow.com,Major NYC real estate developer
Ridgemont Equity Partners,Certificate Transparency,ridgemontep.investorflow.com,Middle-market PE
Rock Hill Capital,Certificate Transparency,rockhillcap.investorflow.com,
Sack Properties,Certificate Transparency,sackproperties.investorflow.com,Real estate
Sage Hall Partners,Certificate Transparency,sagehallpartners.investorflow.com,
SBridge Partners,Certificate Transparency,sbridgep.investorflow.com,
Search Fund Partners,Certificate Transparency,searchfunds.investorflow.com,
SFS,Certificate Transparency,sfs.investorflow.com,
Structural Capital,Certificate Transparency,structuralcapital.investorflow.com,Venture lending
Theorem Partners,Certificate Transparency,theorem.investorflow.com,
TIFF Investment Program,Certificate Transparency,tiff.investorflow.com,Foundation/endowment OCIO
Tishman Speyer,Certificate Transparency,tishmanspeyer.investorflow.com,Global real estate - major firm
TMF Group US,Certificate Transparency,tmf-groupus.investorflow.com,Fund administrator
Urban Partners,Certificate Transparency,urbanpartners.investorflow.com,
Verde Technology Ventures,InvestorFlow Testimonial,,Managing Director Jeffrey Green quoted
Vertical Venture Partners,Certificate Transparency,vvp.investorflow.com,
Walcap,Certificate Transparency,walcap.investorflow.com,
Warburg Pincus,Certificate Transparency (Data Pipeline),warburg.prod.airflow.dataengine.apps.investorflow.com,Major global PE firm
WF Investments,Certificate Transparency,wfinv.investorflow.com,
WMP LP,Certificate Transparency,wmplp.investorflow.com,
Y Combinator,Certificate Transparency,ycombinator.investorflow.com,Top startup accelerator/VC
Zeno Partners,Certificate Transparency,zenopartners.investorflow.com,
Angelo Gordon (now TPG Angelo Gordon),Press Release (Private Funds CFO),,Named as client in Cloud Theory merger coverage
Ariel Alternatives,InvestorFlow Website Testimonial,,Lorenna Buck (MD) gave testimonial
Blackstone,Press Release / Strategic Investor,,Invested in Cloud Theory; FundEngine built with Blackstone Innovations
KKR,Press Release (Private Funds CFO),,Named as client in Cloud Theory merger coverage
LGIM (Legal & General Investment Management),Coyote Acquisition Announcement,,Named as Coyote Software client (now InvestorFlow)
M7 Real Estate,InvestorFlow Website Testimonial,,David Ebbrell (CEO) gave testimonial; Coyote Software connection
Nuveen,Coyote Acquisition Announcement,,Named as Coyote Software client (now InvestorFlow)
Royal London Asset Management,Coyote Acquisition Announcement,,Named as Coyote Software client (now InvestorFlow)
TPG,Press Release (PRNewswire 2024),,Named as client that relies on InvestorFlow
